usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,100,97,6,1,NA,0,4,NA,10,2,4,NA,NA,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,100,9921163,Hackney,strict,Entire home/apt,Apartment,4.605170185988092,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,0,0,NA,NA,NA,NA,NA,NA,2
15,House,Private room,Private,moderate,Real Bed,Hackney,50,100,2,1,96,31,1,0.84,8,2,1,1110,0.84,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,50,2318959,Hackney,moderate,Private room,House,3.912023005428146,4,0.6931471805599453,0.4804530139182014,0,1,3.4657359027997265,1,7.01211529430638,49.16976090064545,344.78403242880376,1232100,1367631000,4.564348191467836,2
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,100,60,2,1,100,2,1,0.95,0,14,1,62,0.95,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,100,16343625,Hackney,strict,Entire home/apt,Apartment,4.605170185988092,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,4.127134385045092,17.033238232221528,70.29846319686614,3844,238328,4.605170185988092,3
15,Apartment,Private room,Private,moderate,Real Bed,Hackney,55,100,2,1,100,10,1,1.44,0,2,1,208,1.44,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,55,14236426,Hackney,moderate,Private room,Apartment,4.007333185232471,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.337538079701318,28.489312752261633,152.0627916797168,43264,8998912,4.605170185988092,2
19,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,99,100,4,1,97,28,2,0.96,29,1,2,874,0.96,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,99,4153905,Hackney,flexible,Entire home/apt,Apartment,4.59511985013459,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,3.367295829986474,1,6.773080375655535,45.87461777509013,310.71247339316153,763876,667627624,4.574710978503383,1
39,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,119,56,4,2,94,28,3,1.35,10,3,2,623,1.35,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,119,6197340,Hackney,strict,Entire home/apt,Apartment,4.77912349311153,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,2,3.367295829986474,1,6.434546518787453,41.40338890243973,266.41203192819665,388129,241804367,4.543294782270004,3
15,Apartment,Private room,Private,strict,Real Bed,Hackney,40,100,3,2,84,15,1,2.66,0,2,1,168,2.66,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,40,15032872,Hackney,strict,Private room,Apartment,3.6888794541139363,9,1.0986122886681098,1.206948960812582,0,2,2.772588722239781,1,5.123963979403259,26.25500686222208,134.5297094410113,28224,4741632,4.430816798843313,2
15,House,Private room,Private,flexible,Real Bed,Hackney,22,NA,2,1,NA,1,1,0.13,0,2,1,237,0.13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,22,13908732,Hackney,flexible,Private room,House,3.091042453358316,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,5.4680601411351315,29.899681707070755,163.4932577750608,56169,13312053,NA,2
10,House,Private room,Private,strict,Real Bed,Hackney,45,NA,2,2,100,2,1,0.25,0,1,1,235,0.25,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,45,12018113,Hackney,strict,Private room,House,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,5.459585514144159,29.80707398625274,162.73426935436865,55225,12977875,4.605170185988092,1
25,Apartment,Private room,Private,strict,Real Bed,Hackney,45,100,2,1.5,90,14,1,0.4,25,7,1,1048,0.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,45,2498530,Hackney,strict,Private room,Apartment,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,2.70805020110221,1,6.954638864880987,48.36700174091311,336.37503008512067,1098304,1151022592,4.499809670330265,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,28,100,2,1.5,96,10,1,0.7,0,1,1,427,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28,9920739,Hackney,flexible,Private room,House,3.332204510175204,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,6.056784013228625,36.68463258290185,222.1908961592858,182329,77854483,4.564348191467836,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,45,100,1,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,17391821,Hackney,flexible,Private room,Apartment,3.8066624897703196,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
35,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121,50,4,1,98,17,2,0.96,15,3,2,532,0.96,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,121,7954577,Hackney,strict,Entire home/apt,Apartment,4.795790545596741,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.8903717578961645,1,6.2766434893416445,39.39625349229485,247.27623798686554,283024,150568768,4.584967478670572,3
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,200,NA,2,1,100,1,1,0.05,30,2,1,609,0.05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,200,745564,Hackney,moderate,Private room,Apartment,5.298317366548036,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,6.411818267709897,41.11141349813835,263.5989120787387,370881,225866529,4.605170185988092,2
25,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,250,100,4,2,60,1,1,0.45,0,2,2,65,0.45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,250,16343092,Hackney,flexible,Entire home/apt,Apartment,5.521460917862246,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,2,0.6931471805599453,1,4.174387269895637,17.42550907906675,72.74082327110708,4225,274625,4.0943445622221,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,60,100,2,1,NA,0,1,NA,15,2,1,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,60,16988851,Hackney,flexible,Private room,Apartment,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
20,Apartment,Private room,Private,moderate,Real Bed,Hackney,24,NA,2,1,87,3,1,0.17,0,3,2,519,0.17,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,24,8326142,Hackney,moderate,Private room,Apartment,3.1780538303479458,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,1.3862943611198906,1,6.251903883165888,39.086302164344715,244.363804279862,269361,139798359,4.465908118654584,3
15,House,Private room,Private,flexible,Real Bed,Hackney,75,100,2,1,100,2,1,0.82,0,2,1,72,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,75,16343040,Hackney,flexible,Private room,House,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,4.276666119016055,18.28987309353985,78.21968058024524,5184,373248,4.605170185988092,2
20,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,75,100,3,1,95,13,1,4.59,0,1,1,84,4.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,75,4153301,Hackney,flexible,Entire home/apt,Apartment,4.31748811353631,9,1.0986122886681098,1.206948960812582,0,1,2.6390573296152584,1,4.430816798843313,19.632137504912105,86.98640465396642,7056,592704,4.553876891600541,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,28,100,1,2,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,28,14247089,Hackney,flexible,Private room,Apartment,3.332204510175204,1,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,1
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,35,80,2,1,100,1,1,0.17,0,7,1,175,0.17,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,35,13460647,Hackney,flexible,Private room,Apartment,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,5.1647859739235145,26.675014156437065,137.77073896937733,30625,5359375,4.605170185988092,3
33,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,150,NA,5,2,89,7,5,0.2,15,1,3,1054,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,150,2636656,Hackney,moderate,Entire home/apt,House,5.0106352940962555,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,2,2.0794415416798357,1,6.960347729101308,48.446440510005736,337.20407218686,1110916,1170905464,4.48863636973214,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,100,3,1,100,5,1,0.58,0,2,2,258,0.58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,60,12543122,Hackney,flexible,Private room,House,4.0943445622221,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,1.791759469228055,1,5.552959584921617,30.83536015177286,171.2275087092972,66564,17173512,4.605170185988092,2
20,House,Private room,Private,strict,Real Bed,Hackney,90,NA,2,1,100,1,2,0.14,20,1,2,220,0.14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,90,13853804,Hackney,strict,Private room,House,4.499809670330265,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,0.6931471805599453,1,5.393627546352362,29.091218108771,156.90719534841193,48400,10648000,4.605170185988092,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,32,NA,2,1,60,1,1,0.07,0,4,1,428,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32,8753338,Hackney,moderate,Entire home/apt,Apartment,3.4657359027997265,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,6.059123195581797,36.71297389923736,222.4484317316582,183184,78402752,4.0943445622221,3
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,800,100,2,1,97,9,1,0.47,0,1,1,572,0.47,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,800,7300044,Hackney,strict,Entire home/apt,Apartment,6.684611727667927,4,0.6931471805599453,0.4804530139182014,0,1,2.302585092994046,1,6.349138991379798,40.31156593185928,255.94373506154523,327184,187149248,4.574710978503383,1
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,101,100,4,1,93,37,2,0.68,10,2,2,1623,0.68,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,101,615347,Hackney,moderate,Entire home/apt,Apartment,4.61512051684126,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,3.6375861597263857,1,7.392031567514591,54.642130695132224,403.9163550146754,2634129,4275191367,4.532599493153256,2
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,100,2,2,85,12,1,2.11,0,2,1,170,2.11,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,33,15033277,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,2,2.5649493574615367,1,5.135798437050262,26.376425586007915,135.464005299592,28900,4913000,4.442651256490317,2
20,Apartment,Private room,Private,flexible,Real Bed,Hackney,36,100,1,1,NA,0,1,NA,0,2,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,36,4416453,Hackney,flexible,Private room,Apartment,3.58351893845611,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,35,100,2,1,80,1,1,0.48,0,2,1,62,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,35,16081768,Hackney,flexible,Private room,Apartment,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.127134385045092,17.033238232221528,70.29846319686614,3844,238328,4.382026634673881,2
NA,House,Private room,Private,flexible,Real Bed,Hackney,75,NA,1,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,14770960,Hackney,flexible,Private room,House,4.31748811353631,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,100,100,4,1,90,4,1,0.61,10,2,2,196,0.61,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,100,14192761,Hackney,moderate,Entire home/apt,Apartment,4.605170185988092,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.6094379124341003,1,5.278114659230517,27.858494355984075,147.04032744441017,38416,7529536,4.499809670330265,2
50,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,149,98,6,2,95,4,4,0.2,19,3,4,594,0.2,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,149,1008314,Hackney,strict,Entire home/apt,Apartment,5.003946305945459,36,1.791759469228055,3.210401995568401,1.3862943611198906,2,1.6094379124341003,1,6.386879319362645,40.792227440102245,260.53503382792644,352836,209584584,4.553876891600541,3
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,31,100,2,1,97,6,1,0.58,10,2,1,309,0.58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,31,12542612,Hackney,flexible,Private room,Apartment,3.4339872044851463,4,0.6931471805599453,0.4804530139182014,0,1,1.9459101490553132,1,5.733341276897746,32.871202197379475,188.46182037948762,95481,29503629,4.574710978503383,2
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,50,100,2,2,98,265,1,5.72,10,1,1,1389,5.72,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,50,877864,Hackney,moderate,Private room,Apartment,3.912023005428146,4,0.6931471805599453,0.4804530139182014,0,2,5.583496308781699,2,7.236339342754344,52.36460708349437,378.92806640616317,1929321,2679826869,4.584967478670572,1
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,35,0,1,1,NA,0,1,NA,0,1,1,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,11888003,Hackney,flexible,Private room,Apartment,3.5553480614894135,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,1
73,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,6,1,86,60,2,2.04,15,2,3,881,2.04,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,95,4154728,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,36,1.791759469228055,3.210401995568401,1.0986122886681098,1,4.110873864173311,2,6.78105762593618,45.982742526267224,311.8116268692042,776161,683797841,4.454347296253507,2
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,35,NA,1,1,NA,0,1,NA,0,21,1,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35,17524096,Hackney,strict,Private room,Apartment,3.5553480614894135,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,65,100,2,1,NA,0,1,NA,5,3,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,65,15033715,Hackney,flexible,Private room,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
35,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,130,NA,3,1,95,17,2,0.85,0,2,2,598,0.85,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,130,4547946,Hackney,strict,Entire home/apt,Apartment,4.867534450455582,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1,2.8903717578961645,1,6.393590753950631,40.878002729003,261.3572202881223,357604,213847192,4.553876891600541,2
35,Apartment,Private room,Private,moderate,Real Bed,Hackney,29,100,2,1,96,19,1,0.55,10,2,1,1043,0.55,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,29,2702212,Hackney,moderate,Private room,Apartment,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,1,2.995732273553991,1,6.949856455000773,48.30050474511591,335.6815746826392,1087849,1134626507,4.564348191467836,2
10,Apartment,Private room,Private,moderate,Real Bed,Hackney,40,90,2,1,100,4,1,0.26,10,1,1,455,0.26,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,40,9266450,Hackney,moderate,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,6.12029741895095,37.45804049641767,229.2543485691852,207025,94196375,4.605170185988092,1
40,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,100,NA,4,2,96,24,2,1.18,0,2,2,608,1.18,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,100,6382821,Hackney,moderate,Entire home/apt,Apartment,4.605170185988092,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,2,3.2188758248682006,1,6.410174881966167,41.090342017389965,263.39627829127215,369664,224755712,4.564348191467836,2
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,54,100,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,54,15270134,Hackney,strict,Private room,Apartment,3.9889840465642745,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,30,100,1,1,94,7,1,0.85,15,2,1,245,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,30,13328340,Hackney,flexible,Private room,House,3.4011973816621555,1,0,0,0,1,2.0794415416798357,1,5.501258210544727,30.263841899085776,166.48920872997317,60025,14706125,4.543294782270004,2
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,98,100,2,1,99,18,2,1.49,25,4,2,361,1.49,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,98,9268875,Hackney,moderate,Entire home/apt,Apartment,4.584967478670572,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,2.9444389791664403,1,5.8888779583328805,34.67888360813883,204.21971329956023,130321,47045881,4.59511985013459,3
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,70,NA,4,1,NA,0,1,NA,0,2,2,NA,NA,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,70,6119083,Hackney,moderate,Entire home/apt,Apartment,4.248495242049359,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,2
35,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,65,NA,2,1,90,2,2,0.11,0,1,1,541,0.11,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,65,7822889,Hackney,flexible,Entire home/apt,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,6.293419278846481,39.607126219356566,249.26425172860453,292681,158340421,4.499809670330265,1
5,Apartment,Private room,Private,flexible,Real Bed,Hackney,35,100,1,1,72,7,1,0.59,0,3,1,357,0.59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,35,11492901,Hackney,flexible,Private room,Apartment,3.5553480614894135,1,0,0,0,1,2.0794415416798357,1,5.877735781779639,34.5477779204127,203.0627104637863,127449,45499293,4.276666119016055,3
12,Apartment,Private room,Private,flexible,Real Bed,Hackney,37,NA,2,1,100,4,1,0.63,20,1,1,191,0.63,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,37,9932721,Hackney,flexible,Private room,Apartment,3.6109179126442243,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,5.25227342804663,27.586376162964697,144.89119049683842,36481,6967871,4.605170185988092,1
