usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
30,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,100,100,6,1,84,11,5,0.18,10,7,6,1785,0.18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,100,248291,Hackney,strict,Entire home/apt,House,4.605170185988092,36,1.791759469228055,3.210401995568401,1.791759469228055,1,2.4849066497880004,1,7.487173694213739,56.05776992732621,419.71426035616287,3186225,5687411625,4.430816798843313,3
30,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,80,100,4,1,92,16,2,0.44,0,2,2,1091,0.44,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,80,2216702,Hackney,flexible,Entire home/apt,Apartment,4.382026634673881,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.833213344056216,1,6.994849985833071,48.927926324308906,342.2435047564337,1190281,1298596571,4.5217885770490405,2
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,90,100,5,1,100,3,1,0.15,0,3,2,592,0.15,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,90,6934721,Hackney,strict,Entire home/apt,Apartment,4.499809670330265,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,1,1.3862943611198906,1,6.3835066348840055,40.74915695760812,260.12251380482115,350464,207474688,4.605170185988092,3
73,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,80,100,6,1,90,31,2,3.46,15,2,3,268,3.46,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,80,13112721,Hackney,moderate,Entire home/apt,House,4.382026634673881,36,1.791759469228055,3.210401995568401,1.0986122886681098,1,3.4657359027997265,1,5.5909869805108565,31.259135416241904,174.7694191342343,71824,19248832,4.499809670330265,2
25,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,98,4,1,100,1,1,1,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,85,17401718,Hackney,flexible,Entire home/apt,Apartment,4.442651256490317,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,0.6931471805599453,1,NA,NA,NA,0,0,4.605170185988092,1
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,120,100,4,1,100,4,1,1.52,0,2,2,77,1.52,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,120,16067944,Hackney,strict,Entire home/apt,Apartment,4.787491742782046,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.6094379124341003,1,4.343805421853684,18.868645542925464,81.96172481239498,5929,456533,4.605170185988092,2
20,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,90,NA,2,1,94,14,1,0.43,0,2,1,966,0.43,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,90,2199692,Hackney,flexible,Entire home/apt,Apartment,4.499809670330265,4,0.6931471805599453,0.4804530139182014,0,1,2.70805020110221,1,6.873163834212518,47.24038109192691,324.6908788354489,933156,901428696,4.543294782270004,2
25,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,180,100,6,1,80,2,1,0.07,0,20,3,808,0.07,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,180,4510794,Hackney,strict,Entire home/apt,Apartment,5.19295685089021,36,1.791759469228055,3.210401995568401,1.0986122886681098,1,1.0986122886681098,1,6.694562058521095,44.8171611553902,300.0312666415007,652864,527514112,4.382026634673881,3
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,69,100,2,1,80,2,1,0.24,0,1,1,243,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,10543937,Hackney,flexible,Private room,Apartment,4.23410650459726,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,5.493061443340548,30.17372402031455,165.7461200179884,59049,14348907,4.382026634673881,1
NA,House,Private room,Private,moderate,Real Bed,Hackney,39,NA,2,1.5,100,1,1,0.18,0,1,1,168,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,10874177,Hackney,moderate,Private room,House,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,5.123963979403259,26.25500686222208,134.5297094410113,28224,4741632,4.605170185988092,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,NA,2,1,NA,0,1,NA,0,20,1,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,60,11256362,Hackney,flexible,Private room,House,4.0943445622221,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
25,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,75,NA,2,1,NA,0,1,NA,0,3,1,NA,NA,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,75,11370744,Hackney,moderate,Entire home/apt,Apartment,4.31748811353631,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
45,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,3,1,90,25,1,2.6,0,1,1,286,2.6,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,95,12651921,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,9,1.0986122886681098,1.206948960812582,0,1,3.258096538021482,1,5.655991810819852,31.990243364061232,180.93655449326445,81796,23393656,4.499809670330265,1
NA,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,99,NA,2,1,NA,0,1,NA,0,10,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,99,13179284,Hackney,flexible,Entire home/apt,Apartment,4.59511985013459,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
