country,population,gdppc,lifeexp
Croatia,4.065253,28.7535162699607,78.4243902439025
Haiti,11.263079,2.90543856536495,64.001
Hungary,9.771141,32.5535236997988,76.0219512195122
Indonesia,270.625567,11.811975558914702,71.716
Ireland,4.93434,86.7100092873285,82.3024390243903
Israel,9.054,40.0737372542575,82.8048780487805
India,1366.417756,6.7171777700920305,69.656
Iraq,39.309789,10.8145742281897,70.604
"Iran, Islamic Rep.",82.913893,12.389223350438801,76.677
Iceland,0.360563,56.3829333093672,82.5609756097561
Italy,59.729081,42.6625223699096,83.1975609756098
Jamaica,2.948277,9.775256682933719,74.475
Jordan,10.101697,10.0713798741424,74.526
Japan,126.264931,41.477287487476495,84.3563414634146
Kenya,52.573967,4.32987188383259,66.699
Kyrgyz Republic,6.4562,5.25836669601037,71.6
Cambodia,16.486542,4.388800908633271,69.823
Kiribati,0.117608,2.27010860723388,68.369
Comoros,0.850891,3.05949172597369,64.321
"Korea, Rep.",51.709098,42.719000256300895,83.2268292682927
Kuwait,4.207077,49.853647549412,75.489
Kazakhstan,18.513673,26.3518044418782,73.18
Lao PDR,7.169456,7.8866528141966805,67.923
Lebanon,6.855709,14.5515937122886,78.93
St. Lucia,0.182795,15.448344907340001,76.203
Sri Lanka,21.803,13.0701252612639,76.978
Liberia,4.937374,1.4278190899409,64.104
Lesotho,2.125267,2.6949634232639,54.331
Lithuania,2.794137,37.0625867515036,76.1341463414634
Luxembourg,0.620001,113.94023744151,82.4463414634146
Latvia,1.913822,30.858750074743998,75.2390243902439
Libya,6.777453,15.1741625153905,72.913
Morocco,36.471766,7.537485272341179,76.68
Moldova,2.663251,13.0220046061019,71.901
Montenegro,0.622028,21.5339492357479,76.884
Madagascar,26.969306,1.6185323142724901,67.041
North Macedonia,2.083458,16.600143648851603,75.797
Mali,19.658023,2.32191717305646,59.306
Myanmar,54.045422,5.08250316102148,67.134
Mongolia,3.225166,12.3167913725436,69.87
"Macao SAR, China",0.640446,127.903180133399,84.244
Mauritania,4.525698,5.1970722508281,64.925
Malta,0.504062,43.7034811934287,82.6
Mauritius,1.265711,22.8702862495308,74.2358536585366
Maldives,0.530957,19.531042552224097,78.921
Malawi,18.628749,1.0864619606871,64.263
Mexico,127.575529,19.701337669842,75.054
Malaysia,31.949789,28.364476321160602,76.156
Mozambique,30.366043,1.28150604143547,60.854
Namibia,2.494524,9.7280899151762,63.708
Niger,23.310719,1.22451026155853,62.42
Nigeria,200.963603,5.13549946875343,54.687
Nicaragua,6.545503,5.45170783470381,74.485
Netherlands,17.344874,56.7840372529824,82.0121951219512
Norway,5.347896,64.452812617024,82.9073170731707
Nepal,28.608715,3.43553169842808,70.778
New Zealand,4.9793,42.877942910708605,81.7073170731707
Oman,4.974992,27.2993754183006,77.861
Panama,4.24644,31.4403499457559,78.506
Peru,32.510462,12.8536920747721,76.736
Papua New Guinea,8.776119,4.34980804723973,64.501
Philippines,108.116622,8.91472379820449,71.231
Pakistan,216.565317,4.69048477660926,67.273
Poland,37.965475,33.120517844588,77.8560975609756
Puerto Rico,3.193694,34.8049347111748,79.928512195122
West Bank and Gaza,4.685306,6.24544869712345,74.053
Portugal,10.286263,34.8797059746539,80.6829268292683
Paraguay,7.044639,12.6193365053572,74.254
Qatar,2.832071,90.0437990029688,80.227
Romania,19.371648,29.8576464700842,75.4585365853659
Serbia,6.945235,18.292175030713,75.6853658536585
Russian Federation,144.406261,27.2105459977867,73.0839024390244
Rwanda,12.626938,2.2275170325275897,69.024
Saudi Arabia,34.268529,46.962147687756605,75.133
Solomon Islands,0.669821,2.6609796965096697,72.996
Seychelles,0.097625,27.5211667744956,73.9439024390244
Sudan,42.813237,4.185600635439361,65.311
Sweden,10.278887,52.850569179253306,82.9585365853659
Singapore,5.703569,97.988971642579,83.4975609756098
Slovenia,2.088385,38.9446842313012,81.280487804878
Slovak Republic,5.454147,31.8877653860755,77.4707317073171
Sierra Leone,7.813207,1.71978974431978,54.696
Senegal,16.296362,3.3614615477370697,67.941
Suriname,0.581363,17.0469227684581,71.682
Sao Tome and Principe,0.215048,4.005341641279109,70.385
El Salvador,6.45355,8.796062063689709,73.317
Eswatini,1.148133,8.6218040669514,60.194
Chad,15.946882,1.57962610063652,54.239
Togo,8.082359,1.59917056019465,61.042
Thailand,69.625581,18.4509523560267,77.15
Tajikistan,9.321023,3.4015079298785,71.097
Timor-Leste,1.29312,3.55259699769392,69.495
Turkmenistan,5.942094,15.5384199701316,68.191
Tunisia,11.694721,10.7555391537908,76.699
Tonga,0.104497,6.3781283460138,70.907
Turkey,83.429607,28.199051590355698,77.691
Trinidad and Tobago,1.394969,25.9310352735776,73.507
Tanzania,58.005461,2.66042043252302,65.456
Ukraine,44.386203,12.808798999127301,71.8273170731707
Uganda,44.269587,2.1874652273175403,63.368
United States,328.329953,62.5551588668593,78.7878048780488
Uruguay,3.461731,21.3460379900188,77.911
Uzbekistan,33.58035,7.01432469877717,71.725
St. Vincent and the Grenadines,0.110593,12.48472871235,72.534
Vietnam,96.462108,8.04117838409676,75.4
Vanuatu,0.299882,3.11767883228873,70.474
Samoa,0.197093,6.51652067751809,73.321
South Africa,58.558267,12.4818135074777,64.131
Zambia,17.861034,3.4704480237175597,63.886
Zimbabwe,14.645473,2.79989918897419,61.49
